Street Address,City,State,Zip,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS,test_site_source
"12113 Woodruff Ave, Downey, CA 90241-5605",,,,33.924095,-118.116817,1,range_interpolation,12113,Woodruff Ave,Downey,CA,Los Angeles County,90241,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Downey,619766,551101,3000,3,6.03755E+13,giscorps
"12130 Paramount Blvd, Downey, CA 90242-2339",,,,33.930707,-118.146267,1,rooftop,12130,Paramount Blvd,Downey,CA,Los Angeles County,90242,US,Los Angeles,2019,6,6037,Downey,619766,551201,1008,1,6.03755E+13,giscorps
"12157 Victory Blvd, North Hollywood, CA 91606",,,,34.18684,-118.398478,1,rooftop,12157,Victory Blvd,North Hollywood,CA,Los Angeles County,91606,US,Los Angeles,2019,6,6037,Los Angeles,644000,123901,3008,3,6.03712E+13,giscorps
"12212 W. Washington Blvd. Los Angeles, CA 90066",,,,33.997107,-118.425715,1,range_interpolation,12212,W Washington Blvd,Los Angeles,CA,Los Angeles County,90066,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Culver City,617568,702803,1013,1,6.0377E+13,giscorps
"1225 Wilshire Blvd., Los Angeles, CA 90017",,,,34.053323,-118.265145,1,range_interpolation,1225,Wilshire Blvd,Los Angeles,CA,Los Angeles County,90017,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,209102,2000,2,6.03721E+13,giscorps
"123 South Alvarado St., Los Angeles, CA 90057",,,,34.06615,-118.27088,1,rooftop,123,S Alvarado St,Los Angeles,CA,Los Angeles County,90057,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,208502,3003,3,6.03721E+13,giscorps
"12301 Wilshire Blvd Suite #100, Los Angeles, CA 90025",,,,34.042706,-118.469483,1,rooftop,12301,Wilshire Blvd,Los Angeles,CA,Los Angeles County,90025,US,Los Angeles,2019,6,6037,Los Angeles,644000,264302,2014,2,6.03726E+13,giscorps
"12321 Hawthorne Blvd., Hawthorne, CA 90250",,,,33.920592,-118.353164,1,rooftop,12321,Hawthorne Blvd,Hawthorne,CA,Los Angeles County,90250,US,Los Angeles,2019,6,6037,Hawthorne,632548,602106,1001,1,6.0376E+13,giscorps
"1233 Rancho Vista Blvd., Palmdale, CA 93551",,,,34.601921,-118.152551,1,range_interpolation,1233,Rancho Vista Blvd,Palmdale,CA,Los Angeles County,93551,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Palmdale,655156,910208,1015,1,6.03791E+13,giscorps
"12360 Firestone Blvd. Norwalk, CA 90650",,,,33.905903,-118.070003,1,rooftop,12360,Firestone Blvd,Norwalk,CA,Los Angeles County,90650,US,Los Angeles,2019,6,6037,Norwalk,652526,552200,1020,1,6.03755E+13,giscorps
"12401 Washington Blvd., Whittier, CA 90602",,,,33.969794,-118.04936,1,rooftop,12401,Washington Blvd,Whittier,CA,Los Angeles County,90602,US,Los Angeles,2019,6,6037,Whittier,685292,502100,2000,2,6.0375E+13,giscorps
"12472 Washington Blvd, Whittier, CA 90602",,,,33.967577,-118.045988,1,range_interpolation,12472,Washington Blvd,Whittier,CA,Los Angeles County,90602,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Whittier,685292,502100,2026,2,6.0375E+13,giscorps
"125 North Central Avenue, Glendale, CA 91203",,,,34.14767,-118.258259,1,rooftop,125,N Central Ave,Glendale,CA,Los Angeles County,91203,US,Los Angeles,2019,6,6037,Glendale,630000,301802,1009,1,6.0373E+13,giscorps
"1250 East Pacific Coast Highway, Long Beach, CA 90806",,,,33.789571,-118.17475,1,rooftop,1250,E Pacific Coast Hwy,Long Beach,CA,Los Angeles County,90806,US,City of Long Beach,2019,6,6037,Long Beach,643000,575201,1001,1,6.03758E+13,giscorps
"1260 15th Street, Suite 1501 & 1502 Santa Monica, CA 90404",,,,34.026292,-118.486964,1,rooftop,1260,15th St,Santa Monica,CA,Los Angeles County,90404,US,Los Angeles,2019,6,6037,Santa Monica,670000,701502,2001,2,6.0377E+13,giscorps
"1261 W 79th Street, Los Angeles, CA 90044",,,,33.967434,-118.297229,1,range_interpolation,1261,W 79th St,Los Angeles,CA,Los Angeles County,90044,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,237800,3002,3,6.03724E+13,giscorps
"12618 Studebaker Road, Norwalk, CA 90650",,,,33.916808,-118.099024,1,range_interpolation,12618,Studebaker Rd,Norwalk,CA,Los Angeles County,90650,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Norwalk,652526,552001,1004,1,6.03755E+13,giscorps
"12711 Sherman Way, North Hollywood, CA 91605",,,,34.201367,-118.410735,1,rooftop,12711,Sherman Way,North Hollywood,CA,Los Angeles County,91605,US,Los Angeles,2019,6,6037,Los Angeles,644000,123303,2001,2,6.03712E+13,giscorps
"12750 Erickson Avenue Downey, CA 90242",,,,33.925378,-118.160164,1,range_interpolation,12750,Erickson Ave,Downey,CA,Los Angeles County,90242,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Downey,619766,551600,1028,1,6.03755E+13,giscorps
"1300 N. La Brea Ave, Los Angeles CA 90028",,,,34.09453,-118.34389,1,rooftop,1300,N La Brea Ave,Los Angeles,CA,Los Angeles County,90028,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,190100,1010,1,6.03719E+13,giscorps
"1300 S. Sunset Ave., West Covina, CA 91790",,,,34.059754,-117.946928,1,rooftop,1300,S Sunset Ave,West Covina,CA,Los Angeles County,91790,US,Los Angeles,2019,6,6037,West Covina,684200,406701,1000,1,6.03741E+13,giscorps
"1301 Avenida Cesar Chavez, Monterey Park, CA 91754",,,,34.040454,-118.150072,1,rooftop,1301,Avenida Cesar Chavez,Monterey Park,CA,Los Angeles County,91754,US,Los Angeles,2019,6,6037,Monterey Park,648914,530400,2028,2,6.03753E+13,giscorps
"1301 W 12th St, Long Beach, CA 90813-2720",,,,33.782005,-118.209021,1,rooftop,1301,W 12th St N,Long Beach,CA,Los Angeles County,90813,US,City of Long Beach,2019,6,6037,Long Beach,643000,980033,1003,1,6.03798E+13,giscorps
"1303 West Sepulveda Boulevard, Torrance, CA 90501",,,,33.813608,-118.298983,1,rooftop,1303,W Sepulveda Blvd,Torrance,CA,Los Angeles County,90501,US,Los Angeles,2019,6,6037,West Carson,684144,543602,1026,1,6.03754E+13,giscorps
"1304 15th Street, Suite 400 Santa Monica, CA 90404",,,,34.02579,-118.486377,1,rooftop,1304,15th St,Santa Monica,CA,Los Angeles County,90404,US,Los Angeles,2019,6,6037,Santa Monica,670000,701502,2012,2,6.0377E+13,giscorps
"1305 CA-1, Long Beach, CA 90806",,,,33.791117,-118.174634,1,rooftop,1305,E Pacific Coast Hwy,Long Beach,CA,Los Angeles County,90806,US,City of Long Beach,2019,6,6037,Long Beach,643000,573300,2001,2,6.03757E+13,giscorps
"1305 E. Pacific Coast Hwy., Long Beach, CA 90813",,,,33.79212,-118.21004,0.9,rooftop,1305,E Pacific Coast Hwy,Long Beach,CA,Los Angeles County,90806,US,City of Long Beach,2019,6,6037,Long Beach,643000,573300,2001,2,6.03757E+13,giscorps
"1305 S Concord St # 18, Los Angeles, CA 90023-3503",,,,34.02081,-118.20831,1,rooftop,1305,S Concord St,Los Angeles,CA,Los Angeles County,90023,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,205120,1014,1,6.03721E+13,giscorps
"13160 Mindanao Way, Suite 301, Marina del Rey, CA 90292",,,,33.984899,-118.437318,1,rooftop,13160,Mindanao Way,Marina Del Rey,CA,Los Angeles County,90292,US,Los Angeles,2019,6,6037,Los Angeles,644000,275302,2004,2,6.03728E+13,giscorps
"13248 Roscoe Blvd., Sun Valley, CA 91352",,,,34.221495,-118.42126,1,rooftop,13248,Roscoe Blvd,Sun Valley,CA,Los Angeles County,91352,US,Los Angeles,2019,6,6037,Los Angeles,644000,122000,3020,3,6.03712E+13,giscorps
"1325 Broad Avenue, Wilmington, CA 90744",,,,33.789558,-118.261684,1,rooftop,1325,Broad Ave,Wilmington,CA,Los Angeles County,90744,US,Los Angeles,2019,6,6037,Los Angeles,644000,294610,1006,1,6.03729E+13,giscorps
"13299 South St, Cerritos, CA, 90703",,,,33.858803,-118.052235,1,range_interpolation,13299,S St,Cerritos,CA,Los Angeles County,90703,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Cerritos,612552,554517,2007,2,6.03755E+13,giscorps
13300 Van Nuys Boulevard Pacoima CA 91331,,,,34.266126,-118.423092,1,rooftop,13300,Van Nuys Blvd,Pacoima,CA,Los Angeles County,91331,US,Los Angeles,2019,6,6037,Los Angeles,644000,104404,1004,1,6.0371E+13,giscorps
"13303 Riverside Drive, Sherman Oaks, CA 91423",,,,34.157777,-118.423178,1,rooftop,13303,Riverside Dr,Sherman Oaks,CA,Los Angeles County,91423,US,Los Angeles,2019,6,6037,Los Angeles,644000,124600,3006,3,6.03712E+13,giscorps
"1334 N Avalon Blvd, Wilmington, CA 90744-2639",,,,33.78987,-118.26297,1,rooftop,1334,N Avalon Blvd,Wilmington,CA,Los Angeles County,90744,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,294610,1006,1,6.03729E+13,giscorps
"13420 Truesdale St, Panorama City, CA 91402",,,,34.222002,-118.424183,1,range_interpolation,13420,Truesdale St,Panorama City,CA,Los Angeles County,91402,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,119700,2011,2,6.03712E+13,giscorps
"13501 Osborne St, Arleta, CA 91331",,,,34.241476,-118.427186,1,rooftop,13501,Osborne St,Arleta,CA,Los Angeles County,91331,US,Los Angeles,2019,6,6037,Los Angeles,644000,119002,4004,4,6.03712E+13,giscorps
"1356 West Ave. J, Lancaster, CA 93534",,,,34.689232,-118.15626,1,range_interpolation,1356,W Ave J,Lancaster,CA,Los Angeles County,93534,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Lancaster,640130,900703,2001,2,6.0379E+13,giscorps
"13803 Foothill Blvd., Sylmar, CA 91342",,,,34.310461,-118.433854,1,rooftop,13803,Foothill Blvd,Sylmar,CA,Los Angeles County,91342,US,Los Angeles,2019,6,6037,Los Angeles,644000,106407,2000,2,6.03711E+13,giscorps
"13820 Foothill Blvd, Sylmar, CA 91342",,,,34.310327,-118.434422,1,rooftop,13820,Foothill Blvd,Sylmar,CA,Los Angeles County,91342,US,Los Angeles,2019,6,6037,Los Angeles,644000,106407,2001,2,6.03711E+13,giscorps
"13821 Osborne St., Arleta, CA 91331",,,,34.236203,-118.434494,1,rooftop,13821,Osborne St,Arleta,CA,Los Angeles County,91331,US,Los Angeles,2019,6,6037,Los Angeles,644000,119400,4005,4,6.03712E+13,giscorps
"14006 Riverside Dr Sherman Oaks, CA 91423",,,,34.157126,-118.437915,1,rooftop,14006,Riverside Dr,Sherman Oaks,CA,Los Angeles County,91423,US,Los Angeles,2019,6,6037,Los Angeles,644000,128702,2010,2,6.03713E+13,giscorps
"1413 Hawthorne Blvd. Redondo Beach, CA 90278",,,,33.866759,-118.353544,1,rooftop,1413,Hawthorne Blvd,Redondo Beach,CA,Los Angeles County,90278,US,Los Angeles,2019,6,6037,Redondo Beach,660018,620601,1003,1,6.03762E+13,giscorps
"1424 Crusado Ln # 168, Los Angeles, CA 90033-1512",,,,34.057725,-118.195264,1,range_interpolation,1424,Crusado Ln,Los Angeles,CA,Los Angeles County,90033,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,203100,3001,3,6.0372E+13,giscorps
"14308 Nordoff St., Panorama City, CA 91402",,,,34.23689,-118.44465,0.33,place,,,Panorama City,CA,Los Angeles County,91402,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,120104,1008,1,6.03712E+13,giscorps
"14371 Clark Ave. Bellflower, CA 90706",,,,33.903238,-118.1342,1,range_interpolation,14371,Clark Ave,Bellflower,CA,Los Angeles County,90706,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Bellflower,604982,554001,4005,4,6.03755E+13,giscorps
"14400 Paramount Blvd, Paramount, CA 90723",,,,33.902697,-118.159931,1,range_interpolation,14400,Paramount Blvd,Paramount,CA,Los Angeles County,90723,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Paramount,655618,553502,2004,2,6.03755E+13,giscorps
"1450 E. Holt Avenue, Pomona, CA 91767",,,,34.0619,-117.721501,1,rooftop,1450,E Holt Ave,Pomona,CA,Los Angeles County,91767,US,Los Angeles,2019,6,6037,Pomona,658072,402702,1005,1,6.0374E+13,giscorps
"14525 Roscoe Blvd, Panorama City, CA 91402",,,,34.221677,-118.449783,1,rooftop,14525,Roscoe Blvd,Panorama City,CA,Los Angeles County,91402,US,Los Angeles,2019,6,6037,Los Angeles,644000,120104,1003,1,6.03712E+13,giscorps
"14550 Haynes St. Van Nuys, CA 91411",,,,34.189512,-118.450542,1,rooftop,14550,Haynes St,Van Nuys,CA,Los Angeles County,91411,US,Los Angeles,2019,6,6037,Los Angeles,644000,127806,1004,1,6.03713E+13,giscorps
"14550 Soledad Canyon Road Ste. 100, Santa Clarita, CA 91387",,,,34.43493,-118.38701,0.9,range_interpolation,14550,Soledad Canyon Rd,Santa Clarita,CA,Los Angeles County,91350,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Santa Clarita,669088,910807,2015,2,6.03791E+13,giscorps
"14655 Kittridge St, , Van Nuys, CA 91405",,,,34.190822,-118.452887,1,rooftop,14655,Kittridge St,Van Nuys,CA,Los Angeles County,91405,US,Los Angeles,2019,6,6037,Los Angeles,644000,127805,3002,3,6.03713E+13,giscorps
"14665 Roscoe Blvd, Panorama City, CA 91402",,,,34.221664,-118.452171,1,rooftop,14665,Roscoe Blvd,Panorama City,CA,Los Angeles County,91402,US,Los Angeles,2019,6,6037,Los Angeles,644000,120104,1006,1,6.03712E+13,giscorps
"14665 Roscoe Blvd., Panorama City, CA 91402",,,,34.221664,-118.452171,1,rooftop,14665,Roscoe Blvd,Panorama City,CA,Los Angeles County,91402,US,Los Angeles,2019,6,6037,Los Angeles,644000,120104,1006,1,6.03712E+13,giscorps
"14740 Blythe St, Panorama City, CA 91402",,,,34.215089,-118.454189,1,rooftop,14740,Blythe St,Panorama City,CA,Los Angeles County,91402,US,Los Angeles,2019,6,6037,Los Angeles,644000,120030,1005,1,6.03712E+13,giscorps
"1485 South Garey Avenue, Pomona, CA 91766",,,,34.044674,-117.750225,1,rooftop,1485,S Garey Ave,Pomona,CA,Los Angeles County,91766,US,Los Angeles,2019,6,6037,Pomona,658072,402502,2024,2,6.0374E+13,giscorps
"1500 E GAGE AVE, LOS ANGELES, CA 90001",,,,33.981879,-118.247421,1,rooftop,1500,E Gage Ave,Los Angeles,CA,Los Angeles County,90001,US,Los Angeles,2019,6,6037,Florence-Graham,624477,533001,1025,1,6.03753E+13,giscorps
"15141 Whittier Blvd. Suite 120, Whittier, CA 90603",,,,33.948455,-118.003887,1,rooftop,15141,Whittier Blvd,Whittier,CA,Los Angeles County,90603,US,Los Angeles,2019,6,6037,Whittier,685292,500202,2014,2,6.0375E+13,giscorps
"15251 Roscoe Blvd, Panorama City, CA 91402-4401",,,,34.221585,-118.464484,1,range_interpolation,15251,Roscoe Blvd,Panorama City,CA,Los Angeles County,91402,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,117530,2006,2,6.03712E+13,giscorps
"15253 Roscoe Blvd, Panorama City, CA 91402-4401",,,,34.221585,-118.464515,1,range_interpolation,15253,Roscoe Blvd,Panorama City,CA,Los Angeles County,91402,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,117530,2006,2,6.03712E+13,giscorps
"15301 S. San Jose Ave., Compton, CA 90221",,,,33.894114,-118.181687,1,range_interpolation,15301,S San Jose Ave,Compton,CA,Los Angeles County,90221,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Compton,615044,542106,1001,1,6.03754E+13,giscorps
"155 Pacific Coast Highway, Hermosa Beach, CA 90254",,,,33.856114,-118.391001,1,rooftop,155,Highway 1,Hermosa Beach,CA,Los Angeles County,90254,US,Los Angeles,2019,6,6037,Hermosa Beach,633364,621104,1018,1,6.03762E+13,giscorps
"1550 Normandie Ave. Los Angeles, CA 90006",,,,34.04498,-118.29994,0.9,rooftop,1550,S Normandie Ave,Los Angeles,CA,Los Angeles County,90006,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,221220,1001,1,6.03722E+13,giscorps
"1550 Puente Avenue, Baldwin Park, CA 91706",,,,34.06438,-117.96832,0.9,rooftop,1550,N Puente Ave,Baldwin Park,CA,Los Angeles County,91706,US,Los Angeles,2019,6,6037,Baldwin Park,603666,406901,2000,2,6.03741E+13,giscorps
"1555 S. Garey Ave, Pomona, CA 91766",,,,34.043115,-117.750349,1,rooftop,1555,S Garey Ave,Pomona,CA,Los Angeles County,91766,US,Los Angeles,2019,6,6037,Pomona,658072,403000,1000,1,6.0374E+13,giscorps
"1555 W. 110th St., Los Angeles, CA 90047",,,,33.935592,-118.304035,1,rooftop,1555,W 110th St,Los Angeles,CA,Los Angeles County,90047,US,Los Angeles,2019,6,6037,Westmont,684592,600302,1002,1,6.0376E+13,giscorps
"15715 S. Atlantic Ave., Compton, CA 90221",,,,33.889996,-118.193215,1,rooftop,15715,S Atlantic Ave,Compton,CA,Los Angeles County,90221,US,Los Angeles,2019,6,6037,East Rancho Dominguez,621034,542106,2010,2,6.03754E+13,giscorps
"15718 Hawthorne Boulevard Nec, Lawndale, CA 90260",,,,33.888259,-118.352218,1,range_interpolation,15718,Hawthorne Blvd,Lawndale,CA,Los Angeles County,90260,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Lawndale,640886,603802,2009,2,6.0376E+13,giscorps
"1574 Linden Ave, Long Beach, CA 90813-2032",,,,33.786446,-118.186118,1,rooftop,1574,Linden Ave,Long Beach,CA,Los Angeles County,90813,US,City of Long Beach,2019,6,6037,Long Beach,643000,575300,3007,3,6.03758E+13,giscorps
"15898 Gale Avenue, Hacienda Heights, CA 91745",,,,34.009865,-117.959815,1,range_interpolation,15898,Gale Ave,Hacienda Heights,CA,Los Angeles County,91745,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Hacienda Heights,631596,408630,1000,1,6.03741E+13,giscorps
"1595 N. Lake Avenue, Pasadena, CA 91104",,,,34.173343,-118.132461,1,rooftop,1595,N Lake Ave,Pasadena,CA,Los Angeles County,91104,US,Los Angeles,2019,6,6037,Pasadena,656000,461501,3008,3,6.03746E+13,giscorps
"1625 E. 4th St., Los Angeles, CA 90033",,,,34.043106,-118.221864,1,rooftop,1625,E 4th St,Los Angeles,CA,Los Angeles County,90033,US,Los Angeles,2019,6,6037,Los Angeles,644000,206032,2008,2,6.03721E+13,giscorps
1627 East Anaheim St. Long Beach 90813,,,,33.782915,-118.171285,1,rooftop,1627,E Anaheim St,Long Beach,CA,Los Angeles County,90813,US,City of Long Beach,2019,6,6037,Long Beach,643000,575202,2005,2,6.03758E+13,giscorps
"1651 E 103rd St, Los Angeles, CA 90002",,,,33.94479,-118.2439,1,rooftop,1651,E 103rd St,Los Angeles,CA,Los Angeles County,90002,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,242300,2007,2,6.03724E+13,giscorps
"16550 Ventura Boulevard Suite 315, Encino, CA 91436",,,,34.157636,-118.494201,1,rooftop,16550,Ventura Blvd,Encino,CA,Los Angeles County,91436,US,Los Angeles,2019,6,6037,Los Angeles,644000,139701,2008,2,6.03714E+13,giscorps
"16600 Civic Center Drive, Bellflower, CA 90706",,,,33.883661,-118.122249,1,range_interpolation,16600,Civic Center Plz,Bellflower,CA,Los Angeles County,90706,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Bellflower,604982,554204,1000,1,6.03755E+13,giscorps
"1670 E 120th St, Los Angeles, CA 90059-3026",,,,33.924075,-118.244452,1,rooftop,1670,E 120th St,Los Angeles,CA,Los Angeles County,90059,US,Los Angeles,2019,6,6037,Willowbrook,685614,540700,2014,2,6.03754E+13,giscorps
"16818 Hawthorne Blvd,Lawndale, CA 90260",,,,33.877898,-118.352052,1,rooftop,16818,Hawthorne Blvd,Lawndale,CA,Los Angeles County,90260,US,Los Angeles,2019,6,6037,Lawndale,640886,604100,5010,5,6.0376E+13,giscorps
"16921 East Avenue O, Space G Lake Los Angeles, CA 93591",,,,34.616772,-117.827645,1,rooftop,16921,E Ave O,Palmdale,CA,Los Angeles County,93591,US,Los Angeles,2019,6,6037,Lake Los Angeles,639612,900103,1062,1,6.0379E+13,giscorps
"1700 Stadium Way, Los Angeles, CA 90012",,,,34.068146,-118.242378,1,rooftop,1700,Stadium Way,Los Angeles,CA,Los Angeles County,90012,US,Los Angeles,2019,6,6037,Los Angeles,644000,197700,3004,3,6.0372E+13,giscorps
"1701 W Verdugo Ave, Burbank, CA 91506",,,,34.168006,-118.323556,1,rooftop,1701,W Verdugo Ave,Burbank,CA,Los Angeles County,91506,US,City of Burbank,2019,6,6037,Burbank,608954,310800,4013,4,6.03731E+13,giscorps
"1704 Colorado Blvd, Los Angeles, CA 90041",,,,34.13934,-118.203851,1,range_interpolation,1704,Colorado Blvd,Los Angeles,CA,Los Angeles County,90041,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,181400,1003,1,6.03718E+13,giscorps
"171 W. Bort St., Long Beach, CA 90805",,,,33.871417,-118.205155,1,rooftop,171,W Bort St,Long Beach,CA,Los Angeles County,90805,US,City of Long Beach,2019,6,6037,Long Beach,643000,570402,1016,1,6.03757E+13,giscorps
"1724 Pennsylvania Ave, Los Angeles, CA 90033",,,,34.04801,-118.218546,1,rooftop,1724,Pennsylvania Ave,Los Angeles,CA,Los Angeles County,90033,US,Los Angeles,2019,6,6037,Los Angeles,644000,203500,3010,3,6.0372E+13,giscorps
"1731 E 120th St., Los Angeles, CA 90059",,,,33.92638,-118.24327,0.7,rooftop,1731,W 120th St,Los Angeles,CA,Los Angeles County,90047,US,Los Angeles,2019,6,6037,West Athens,684116,602801,2014,2,6.0376E+13,giscorps
"1747 North Cahuenga Boulevard, Hollywood, CA 90028",,,,34.1031,-118.32972,1,rooftop,1747,N Cahuenga Blvd,Los Angeles,CA,Los Angeles County,90028,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,190201,1002,1,6.03719E+13,giscorps
"17660 Lakewood Blvd, Bellflower, CA 90706-6410",,,,33.871585,-118.142077,1,rooftop,17660,Lakewood Blvd,Bellflower,CA,Los Angeles County,90706,US,Los Angeles,2019,6,6037,Bellflower,604982,554403,2004,2,6.03755E+13,giscorps
"1776 E Century Blvd, Los Angeles, CA 90002-3050",,,,33.94541,-118.24162,1,rooftop,1776,E Century Blvd,Los Angeles,CA,Los Angeles County,90002,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,242200,3006,3,6.03724E+13,giscorps
"18011 Sherman Way, Reseda, CA 91335",,,,34.201348,-118.525797,1,rooftop,18011,Sherman Way,Reseda,CA,Los Angeles County,91335,US,Los Angeles,2019,6,6037,Los Angeles,644000,131800,1020,1,6.03713E+13,giscorps
"1815 Hawthorne Blvd, Redondo Beach, CA, 90278",,,,33.92638,-118.24327,0.79,nearest_rooftop_match,1801,Hawthorne Blvd,Redondo Beach,CA,Los Angeles County,90278,US,Los Angeles,2019,6,6037,Redondo Beach,660018,620601,1003,1,6.03762E+13,giscorps
"1820 West Verdugo Avenue, Burbank, CA 91506",,,,34.166917,-118.324483,1,rooftop,1820,W Verdugo Ave,Burbank,CA,Los Angeles County,91506,US,City of Burbank,2019,6,6037,Burbank,608954,311700,2002,2,6.03731E+13,giscorps
"18247 Sherman Way, Reseda, CA 91335",,,,34.201337,-118.531224,1,rooftop,18247,Sherman Way,Reseda,CA,Los Angeles County,91335,US,Los Angeles,2019,6,6037,Los Angeles,644000,131800,2007,2,6.03713E+13,giscorps
"18308 COLIMA RD, ROWLAND HEIGHTS, CA 91748",,,,33.988176,-117.905286,1,rooftop,18308,Colima Rd,Rowland Heights,CA,Los Angeles County,91748,US,Los Angeles,2019,6,6037,Rowland Heights,663218,408724,1000,1,6.03741E+13,giscorps
"1831 E 1st St., Los Angeles, CA 90033",,,,34.047253,-118.218678,1,range_interpolation,1831,E 1st St,Los Angeles,CA,Los Angeles County,90033,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,203500,3010,3,6.0372E+13,giscorps
"1845 North Fair Oaks Ave. Suite G-151, Pasadena, CA 91103",,,,34.177681,-118.15122,1,rooftop,1845,N Fair Oaks Ave,Pasadena,CA,Los Angeles County,91103,US,Los Angeles,2019,6,6037,Pasadena,656000,460900,1010,1,6.03746E+13,giscorps
"18460 Roscoe Blvd., Northridge, CA 91325",,,,34.220483,-118.535661,1,rooftop,18460,Roscoe Blvd,Northridge,CA,Los Angeles County,91325,US,Los Angeles,2019,6,6037,Los Angeles,644000,131400,1001,1,6.03713E+13,giscorps
"18555 Ventura Blvd Suite B, Tarzana, CA 91356",,,,34.169699,-118.537794,1,rooftop,18555,Ventura Blvd,Tarzana,CA,Los Angeles County,91356,US,Los Angeles,2019,6,6037,Los Angeles,644000,139401,2007,2,6.03714E+13,giscorps
"1869 W Temple St, Los Angeles, CA 90026",,,,34.069481,-118.265043,1,range_interpolation,1869,W Temple St,Los Angeles,CA,Los Angeles County,90026,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,208402,1008,1,6.03721E+13,giscorps
"188 Las Tunas Drive, Arcadia, CA 91007",,,,34.107031,-118.037723,1,rooftop,188,Las Tunas Dr,Arcadia,CA,Los Angeles County,91007,US,Los Angeles,2019,6,6037,Arcadia,602462,431600,1010,1,6.03743E+13,giscorps
"18800 Amar Road Suite A-8, Walnut, CA 91789",,,,34.02933,-117.89016,0.9,rooftop,18800,E Amar Rd,Walnut,CA,Los Angeles County,91789,US,Los Angeles,2019,6,6037,Walnut,683332,403408,3001,3,6.0374E+13,giscorps
"1900 Atlantic Ave, Long Beach, CA 90806-5502",,,,33.792026,-118.184692,1,rooftop,1900,Atlantic Ave,Long Beach,CA,Los Angeles County,90806,US,City of Long Beach,2019,6,6037,Long Beach,643000,573202,2001,2,6.03757E+13,giscorps
"1900 E Slauson Ave Ste B, Huntington Park, CA 90255-2725",,,,33.989078,-118.237511,1,range_interpolation,1900,E Slauson Ave,Huntington Park,CA,Los Angeles County,90255,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Huntington Park,636056,532603,1005,1,6.03753E+13,giscorps
"1900 Paseo Rancho Castilla, Los Angeles, CA 90032",,,,34.06573,-118.1726,0.8,range_interpolation,1900,Pso Rancho Castilla,Los Angeles,CA,Los Angeles County,90032,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,201700,1013,1,6.0372E+13,giscorps
"19042 Soledad Canyon Rd Santa Clarita, CA 91351",,,,34.415559,-118.467746,1,range_interpolation,19042,Soledad Canyon Rd,Canyon Country,CA,Los Angeles County,91351,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Santa Clarita,669088,920035,1012,1,6.03792E+13,giscorps
