Street Address,City,State,Zip,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS,test_site_source
502 W. Holt Ave.,Pomona,CA,91768,34.061995,-117.757086,1,rooftop,502,W Holt Ave,Pomona,CA,Los Angeles County,91768,US,Los Angeles,2019,6,6037,Pomona,658072,408800,1016,1,6.03741E+13,govt
604 Rose Ave.,Venice,CA,90291,33.999152,-118.471655,1,rooftop,604,Rose Ave,Venice,CA,Los Angeles County,90291,US,Los Angeles,2019,6,6037,Los Angeles,644000,273200,1005,1,6.03727E+13,govt
6300 Balboa Blvd. ,Van Nuys,CA,91406,34.18289,-118.4983,0.9,rooftop,6300,Balboa Blvd,Encino,CA,Los Angeles County,91436,US,Los Angeles,2019,6,6037,Los Angeles,644000,980024,1011,1,6.03798E+13,govt
711 W. Florence Ave.,Los Angeles,CA,90044,33.9748,-118.28617,1,rooftop,711,W Florence Ave,Los Angeles,CA,Los Angeles County,90044,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,237600,2006,2,6.03724E+13,govt
7300 Santa Fe Ave.,Huntington Park,CA,90255,33.973675,-118.2301,1,rooftop,7300,Santa Fe Ave,Huntington Park,CA,Los Angeles County,90255,US,Los Angeles,2019,6,6037,Walnut Park,683402,534803,1001,1,6.03753E+13,govt
7515 Van Nuys Blvd. ,Van Nuys,CA,91405,34.207273,-118.448962,1,rooftop,7515,Van Nuys Blvd,Van Nuys,CA,Los Angeles County,91405,US,Los Angeles,2019,6,6037,Los Angeles,644000,127220,1000,1,6.03713E+13,govt
7643 S Painter Ave.,Whittier,CA,90602,33.97379,-118.03313,0.8,range_interpolation,7643,Painter Ave,Whittier,CA,Los Angeles County,90602,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Whittier,685292,501804,2006,2,6.0375E+13,govt
7901 S. Vermont Ave,Los Angeles,CA,90044,33.96791,-118.292,1,rooftop,7901,S Vermont Ave,Los Angeles,CA,Los Angeles County,90044,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,237800,3002,3,6.03724E+13,govt
800 N. Alameda St,Los Angeles,CA,90012,34.05494,-118.23752,1,rooftop,800,N Alameda St,Los Angeles,CA,Los Angeles County,90012,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,206020,1014,1,6.03721E+13,govt
8908 Maie Ave. ,Los Angeles,CA,90002,33.953372,-118.243963,1,rooftop,8908,Maie Ave,Los Angeles,CA,Los Angeles County,90002,US,Los Angeles,2019,6,6037,Florence-Graham,624477,535200,1000,1,6.03754E+13,govt
923 S San Gabriel Blvd.,San Gabriel,CA,91776,34.090854,-118.090991,1,range_interpolation,923,S San Gabriel Blvd,San Gabriel,CA,Los Angeles County,91776,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,San Gabriel,667042,481103,4007,4,6.03748E+13,govt
"100 Constitution Ave., Los Angeles, CA 90095",,,,34.06025,-118.45841,0.3,street_center,,Constitution Way,Rancho Cucamonga,CA,San Bernardino County,91730,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6071,Rancho Cucamonga,659451,2035,1001,1,6.071E+13,giscorps
"100 W California Blvd, Pasadena, CA 91105",,,,34.13366,-118.152241,1,rooftop,100,W California Blvd,Pasadena,CA,Los Angeles County,91105,US,Los Angeles,2019,6,6037,Pasadena,656000,463900,1010,1,6.03746E+13,giscorps
"1000 West Carson Street - Bldg N-26, Torrance, CA 90502",,,,33.831358,-118.292397,1,rooftop,1000,W Carson St,Torrance,CA,Los Angeles County,90502,US,Los Angeles,2019,6,6037,West Carson,684144,543503,2005,2,6.03754E+13,giscorps
"10000 W Washington Blvd Suite 108, Culver City, CA 90232",,,,34.021371,-118.398194,1,range_interpolation,10000,W Washington Blvd,Culver City,CA,Los Angeles County,90232,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,Los Angeles,644000,269905,1000,1,6.03727E+13,giscorps
